                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.2552,                0.78174,                 1.0154,                0.89495,                0.85192,                0.90285,                0.45672,                 1.6571,                0.82467,                 1.1579,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.2646,                0.77774,                 1.0107,                0.91392,                 0.8625,                0.89534,                0.40338,                 1.7423,                0.88714,                 1.1762,               0.001406,               0.001406,               0.001406
                     63,                 1.2592,                0.77707,                 1.0102,                0.92999,                    0.9,                0.91657,                0.41329,                 1.7473,                0.84588,                 1.2036,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.2741,                0.78008,                 1.0116,                0.93068,                 0.9125,                0.91092,                0.46801,                 1.5862,                0.75235,                 1.1326,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.2241,                0.74044,                 1.0035,                0.95762,                  0.925,                0.95463,                0.47911,                  1.581,                0.73939,                 1.1352,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.2439,                  0.748,                 1.0101,                 0.9106,                 0.8875,                0.88951,                0.41992,                 1.7323,                0.78336,                  1.168,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.2344,                0.74179,                 1.0058,                0.88263,                 0.8375,                0.89086,                  0.451,                 1.7597,                 0.7772,                 1.2051,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2395,                0.75507,                 1.0068,                0.90596,                  0.875,                0.88384,                0.43641,                 1.6711,                0.79638,                 1.1618,              0.0013466,              0.0013466,              0.0013466
                     69,                  1.243,                0.75409,                0.99758,                0.89431,                   0.85,                0.88371,                0.43938,                 1.7181,                0.82687,                 1.1752,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.2127,                 0.7545,                0.99577,                0.93316,                    0.9,                0.91469,                0.46914,                 1.7416,                0.77278,                  1.176,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.2159,                0.73581,                0.99739,                 0.8999,                  0.875,                0.86348,                0.43066,                 1.6403,                0.81273,                 1.1573,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.2088,                0.72285,                0.98863,                0.84331,                 0.8875,                0.88161,                0.44085,                  1.716,                0.79419,                 1.1862,               0.001307,               0.001307,               0.001307
                     73,                 1.2103,                0.73552,                  0.988,                0.96998,                 0.9375,                0.95161,                0.49312,                  1.578,                0.73151,                 1.1036,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.2033,                0.71959,                0.99626,                0.97265,                   0.95,                0.95746,                0.43988,                 1.7016,                 0.7615,                 1.1539,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.2074,                0.71521,                0.99696,                0.95866,                  0.925,                0.93488,                0.49765,                 1.5468,                0.70395,                 1.1095,              0.0012773,              0.0012773,              0.0012773
                     76,                  1.188,                0.70302,                0.98831,                 0.9111,                0.89677,                0.90823,                0.44364,                 1.7558,                0.76387,                 1.2005,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.1853,                0.70508,                  0.996,                0.91609,                 0.8625,                0.89186,                0.45246,                 1.6496,                0.76601,                 1.1234,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.1869,                0.68708,                 0.9877,                0.92172,                 0.9125,                0.92388,                0.47666,                 1.6578,                0.74502,                 1.1298,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.1782,                0.69427,                0.98448,                0.94855,                0.92186,                0.95121,                0.48698,                 1.6434,                0.74125,                 1.1226,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.1784,                0.68367,                0.97867,                0.93257,                    0.9,                0.89721,                0.43648,                 1.7673,                0.81064,                 1.1818,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.1675,                0.68165,                0.98146,                0.93156,                 0.9125,                 0.9129,                0.43679,                 1.7591,                0.79279,                 1.2213,              0.0012179,              0.0012179,              0.0012179
                     82,                  1.181,                 0.6788,                0.98771,                0.95707,                  0.925,                0.95519,                0.46496,                 1.7089,                0.76132,                 1.1413,               0.001208,               0.001208,               0.001208
                     83,                 1.1822,                0.68318,                0.97815,                0.93575,                0.91025,                0.92067,                 0.4472,                 1.7242,                0.76156,                 1.1687,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.1604,                0.67245,                0.97556,                 0.9338,                    0.9,                0.90744,                0.44388,                  1.764,                0.79361,                 1.2223,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.1417,                0.66745,                0.97009,                0.92289,                0.89761,                0.89573,                0.41596,                 1.7604,                0.80055,                 1.2304,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.1516,                0.67097,                0.96978,                 0.9469,                  0.925,                0.92516,                0.41099,                 1.8003,                0.74959,                 1.2454,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.1356,                0.65202,                0.95835,                0.89769,                  0.875,                0.90067,                0.44754,                 1.7388,                0.75601,                 1.1853,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.1407,                0.65286,                0.96337,                0.92488,                0.92347,                0.92503,                0.45071,                 1.6652,                0.70876,                 1.1354,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.1307,                0.64695,                0.96793,                0.93188,                 0.9125,                0.92489,                0.45755,                 1.6761,                0.73229,                 1.1911,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.1357,                0.64927,                0.96862,                0.89762,                 0.8875,                0.90521,                 0.4666,                 1.6847,                0.77239,                 1.1835,              0.0011288,              0.0011288,              0.0011288
                     91,                  1.125,                0.63874,                0.96205,                0.93316,                 0.9125,                0.92371,                0.45964,                 1.6322,                0.73031,                 1.1767,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.1336,                0.64728,                0.96951,                0.95785,                  0.925,                0.93622,                0.45012,                 1.6568,                0.71312,                 1.1734,               0.001109,               0.001109,               0.001109
                     93,                 1.1171,                0.63346,                0.96325,                0.95207,                 0.9125,                 0.9203,                0.44587,                 1.7296,                0.75455,                 1.1923,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.1206,                0.64494,                0.96658,                0.89981,                 0.8625,                0.89544,                0.43999,                 1.7596,                0.75086,                 1.2004,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.1146,                0.64036,                0.95485,                0.91013,                0.88617,                 0.8991,                0.44083,                 1.6624,                0.71271,                 1.1846,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.0946,                0.62031,                0.95716,                0.91934,                 0.8875,                0.87407,                0.43501,                 1.6824,                0.73033,                 1.2332,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.1218,                0.63627,                0.96566,                0.93432,                 0.9125,                0.91901,                0.45841,                 1.6583,                0.72427,                 1.1574,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.0927,                0.61882,                 0.9501,                 0.9596,                  0.925,                0.94517,                0.47662,                 1.6928,                0.70921,                 1.1693,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0876,                0.61941,                 0.9498,                0.88761,                  0.875,                0.88597,                 0.4604,                 1.6836,                0.74094,                 1.2003,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.0763,                0.61511,                0.95553,                 0.9464,                 0.9125,                0.92066,                0.46536,                 1.7022,                0.73998,                 1.1844,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.0953,                0.63361,                0.95363,                0.93082,                    0.9,                 0.9327,                0.47137,                  1.679,                0.71769,                 1.1636,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.0745,                0.60359,                0.94979,                0.95937,                  0.925,                0.93165,                0.47659,                 1.6425,                0.69993,                 1.1592,                0.00101,                0.00101,                0.00101
                    103,                 1.0753,                0.60752,                0.94717,                0.92784,                    0.9,                0.92247,                0.43273,                 1.7594,                 0.7198,                 1.2554,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.0773,                0.60589,                0.95077,                0.94708,                 0.9125,                0.93614,                0.42645,                 1.7774,                0.72852,                 1.2076,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.0829,                0.60574,                0.95072,                0.89259,                 0.8625,                0.86323,                0.41848,                 1.7786,                0.75159,                 1.2413,              0.0009803,              0.0009803,              0.0009803
                    106,                  1.051,                 0.5942,                0.94188,                0.92204,                0.88705,                0.90024,                0.45242,                 1.7508,                0.72659,                 1.2013,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.0495,                0.59309,                0.93602,                0.92204,                    0.9,                0.89251,                0.45545,                 1.7742,                0.75506,                 1.2316,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.0653,                 0.6007,                0.94471,                0.92092,                0.87346,                0.88524,                0.43117,                 1.7524,                0.72007,                 1.2479,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.0694,                0.59375,                0.94712,                0.86467,                 0.8375,                0.84971,                0.44749,                 1.7172,                 0.7464,                 1.2206,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.0618,                 0.5891,                0.94429,                0.83524,                0.82382,                0.80173,                0.41324,                 1.7461,                0.75605,                 1.2665,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.0284,                0.57327,                0.93394,                0.90728,                  0.875,                0.88071,                0.44513,                 1.7797,                0.70327,                 1.2393,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.0492,                0.58159,                0.93767,                0.94805,                0.91242,                0.92019,                0.43544,                 1.8131,                0.71595,                  1.252,               0.000911,               0.000911,               0.000911
                    113,                 1.0423,                0.57585,                0.94508,                0.94715,                0.89613,                0.92242,                0.45109,                 1.7262,                 0.7193,                 1.2157,              0.0009011,              0.0009011,              0.0009011
                    114,                  1.051,                0.57788,                0.94177,                0.92018,                    0.9,                0.91143,                0.44697,                   1.72,                0.69648,                 1.2085,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.0262,                0.56728,                0.92521,                 0.9366,                0.92339,                0.92725,                0.44721,                 1.7375,                0.69678,                 1.1794,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.0187,                0.55651,                0.93664,                0.93574,                 0.9125,                0.92384,                0.45221,                 1.7107,                0.68509,                 1.1832,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.0173,                0.55589,                0.92683,                0.93118,                    0.9,                0.90408,                0.46586,                 1.7069,                0.67261,                 1.1791,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.0351,                0.57632,                0.93592,                0.93388,                 0.9125,                0.92515,                0.46917,                 1.6678,                0.68345,                 1.1771,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.0234,                0.57312,                0.93595,                0.94717,                  0.925,                0.93006,                0.46851,                 1.6746,                0.68333,                 1.1877,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.0233,                0.56378,                0.92812,                0.97306,                 0.9375,                0.95012,                0.46278,                 1.6736,                0.67064,                  1.199,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.0167,                0.55913,                0.92897,                0.98574,                   0.95,                0.96616,                0.46676,                 1.6558,                0.64867,                 1.1855,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.0002,                 0.5512,                0.92946,                0.97271,                 0.9375,                0.95072,                0.45807,                  1.667,                 0.6767,                 1.2073,               0.000812,               0.000812,               0.000812
                    123,                 1.0065,                0.54914,                0.92211,                0.97273,                 0.9375,                0.95219,                0.46237,                 1.6691,                0.68256,                 1.2062,              0.0008021,              0.0008021,              0.0008021
                    124,                0.98313,                0.53748,                0.92282,                0.93663,                0.92374,                0.93034,                0.47033,                 1.6586,                0.66159,                 1.1973,              0.0007922,              0.0007922,              0.0007922
                    125,                0.99282,                0.55307,                0.92419,                0.94664,                  0.925,                0.94673,                0.48795,                  1.653,                 0.6596,                 1.1778,              0.0007823,              0.0007823,              0.0007823
